PBC Component,Partners,Activities,Strategy,Description,Output,Immediate Outcomes,Intermediate Outcomes,Long-term Outcomes
Redevelopment,"REACH Riverside
Pennrose
Wilmington Housing Authority
Delaware State Housing Authority
Department of Housing and Urban Development
Tax Credit Equity Investors
Private Development Partners",Imani Village mixed-income housing,Mixed-income Rental Housing Development,"In collaboration with Pennrose, REACH Riverside’s housing developer partner, this strategy delivers high-quality, mixed-income rental housing through multi-phase apartment complex development (Imani Village, which is being built over the course of nine phases). The development prioritizes legacy Riverside residents, offering them first right to occupancy. By intentionally mixing deeply subsidized, affordable, and market-rate units, this approach creates economically integrated communities with the aim of breaking cycles of concentrated poverty, while ensuring that existing Riverside households can remain in the neighborhood.",Affordable rental housing units built,Increased access to affordable rental housing,Increase in families moving into affordable rental housing,"Increased legacy resident retention
Increased housing stability
"
Redevelopment,"REACH Riverside
Private and Public Development Partners
City of Wilmington
Existing Commerical Enterprises
Delaware Department of Transportation",Real Estate Strategy to Obtain Racial Equity (RESTORE) program,Commercial Corridor Revitalization,"Leveraging funding from a Choice Neighborhood Implementation grant (in addition to a variety of other ongoing funding sources) and a wide range of partnerships across Riverside, this strategy reclaims underutilized and blighted property across Riverside, converting land into community-serving assets. This comprehensive redevelopment encompasses new community facilities, single-family housing development, and critical community resources including food retail, food production infrastructure, community gathering spaces, and mixed-use facilities. By RESTORING vacant lots and deteriorating buildings into vibrant community spaces and businesses, this strategy improves the physical environment while creating wealth-building opportunities for residents through community business ownership and employment.","Increased financial investment in communal assets
Property RESTORED","Increased access to wealth creation opportunities
Increased acreage RESTORED ","Community businesses created and funded
Increased utilization of community assets",Revitalized commericial corridor
Redevelopment,"REACH Riverside
Wilmington Housing Authority
Pennrose
Private Developer Partners","Real Estate Strategy to Obtain Racial Equity (RESTORE) program townhome development
Community Land Trust Formation
Home ownership preparation program",Wealth Creation through Home Ownership,"This strategy creates pathways to homeownership and generational wealth by developing for-sale housing units through multiple development models. The Community Land Trust model ensures permanent affordability by separating land ownership from home ownership, allowing families to build equity through home appreciation while keeping housing costs accessible for future generations. Combined with homeownership preparation services including credit counseling, financial literacy, and down payment assistance navigation, this strategy removes traditional barriers to homeownership for low- and moderate-income families while prioritizing legacy residents and directly countering displacement pressures.","Home ownership units built
Community Land Trust formed
Referrals to home ownership preparation program","Increased access to purchasing permanently affordable housing
Increased home ownership skills","Increased home ownership readiness
Increase in families purchasing homes","Increased housing stability
Increased legacy resident retention
Generational wealth creation through home ownership
"
Redevelopment,"Kingswood Community Center
$tandByMe
Wilmington Housing Authority
Habitat for Humanity
EastSide Charter School","Economic Mobility Places Ownership Within Everyone's Reach (EMPOWER) program
Client management
Financial coaching
Home improvement and home ownership support",Housing Support Services,"This strategy provides comprehensive wrap-around services to ensure housing stability across Riverside. Families receive individualized support, including financial literacy training; rental, utility and mortgage assistance; and home ownership preparation programs. Data from family strengths and needs assessments informs ongoing service navigation support and connections with tailored resources aligned with family goals. This holistic approach addresses the multifaceted barriers to housing stability—from managing rental delinquency to improving the quality of neighborhood homes—while preparing families for the transition from renting to homeownership and building the financial acumen necessary for long-term stability and wealth creation.","One-on-one financial coaching provided
Referrals to housing support services
Ongoing case management services received
Individuals enrolled in home ownership preparation programs
Financial assistance provided
Home repairs completed
","Increased access to rental, utility, and mortgage assistance
Improved financial acumen
Improved quality of homes","Up-to-date rental and utility payments
Foreclosures/evictions prevented
Increased home ownership readiness
Increase in families purchasing homes
Increased value of homes
Improved housing status","Increased housing stability
Generational wealth creation through home ownership"
Education,"Kingswood Community Center
Wilmington Children's Chorus","Early Learning Academy
Music education",Early Learning,"Kingswood Community Center’s Early Learning Academy provides Montessori-based early childhood education for children ages 0-5, ensuring comprehensive developmental support through regular assessments using standardized tools to track children's progress toward kindergarten readiness. The program integrates music education through community partnerships, providing play-based, culturally responsive instruction that enhances self-regulation, social-emotional well-being, and literacy skills. The strategy combines high-quality Montessori curriculum with health and dental screenings, developmental monitoring, and connections to special education services when needed. ","Students enrolled
Health and dental screenings conducted
Developmental screenings completed
Referrals to special education services
Participation in arts and culture activities","Increased student attendance
Increased access to special education and arts and culture services","Children achieving developmental milestones
","Increased Early Learning achievement
Increased kindergarten readiness"
Education,"University of Delaware
Delaware State University
Community Education Building","University of Delaware Montessori Teacher Residency
Child Development Associates training
Early Education Associates (CDA) and Bachelor's Degree programs
Wilmington Early Childhood Shared Services",Educator and School Support,"This strategy strengthens the local educator workforce and enhances school-based support through multiple complementary initiatives. University-based teacher residency programs provide high-quality Montessori training and certification for early learning teachers, ensuring they have the specialized skills needed for effective instruction while focusing on family engagement, classroom management, and supporting English language learners and students with special needs. Shared services alliances expand educator resources across multiple early learning centers by creating shared substitute teacher pools and coordinating access to behavioral health services, health screenings, and other supports that individual centers struggle to provide independently.
","Teachers trained
Substitute early childhood teaching pool created
Early learning shared services agreement created
Youth served","Teachers have increased knowledge and skills
Increased supports for early learning centers","More teachers have higher education degrees and credentials
Teachers achieving professional development goals
Early learning centers schools utilizing shared services
Increased effectiveness of curriculum implementation","Increased quality of education
Increased Early Learning achievement
Increased kindergarten readiness"
Education,"EastSide Charter School
Colonial School District
Community Education Building","K-12 Education
Goal Planning for Success (GPS) program",K-12 Education,"This strategy provides rigorous academic programming for students from kindergarten through high school graduation through EastSide Charter School (K-8th grade) and Colonial School District (K-12th grade) schools. EastSide Charter School offers lower school (K-3rd grade), upper school (4th-8th grade), honors programming, and STEM-focused instruction to build toward college and career readiness. For high school students and specialized services, the strategy relies on partnership with public high schools as part of Colonial School District. 

Supplementing core academics, student navigators work directly with chronically absent or academically struggling students, offering personalized support to address barriers to learning and build confidence through regular meetings and goal-setting, while family navigators work alongside families to help them navigate challenges, identify opportunities, and connect with community resources through personalized success plans. Outside of school hours, students have access to additional services and support through The Warehouse (see Out of School Time strategy).
","Students enrolled
Tutoring, mentorship, and academic support received
Student navigator support received","Increased student attendance
Increased support for youth to thrive academically
Increased access to special education services
Increased math and literacy levels
Improved social/emotional learning competencies
","Decreased behavior issues and suspensions
Students achieving academic benchmarks
Increased promotion of youth to the next grade
Students taking the PSAT, SAT, and/or ACT exams","Increased resilience and protective factors among youth and young adults
Increased K-12 academic achievement
Increased high school graduation
Increased post-secondary achievement"
Education,"The Warehouse
EastSide Charter School","Summer Camp
Before and After Care
Membership at The Warehouse
Reaching and Investing in Youth for Sustainable Employment (RISE): In School Youth (ISY) program
RISE: Out-of-School Youth (OSY) program",Out of School Time,"This comprehensive strategy provides academically enriching, developmentally appropriate programming during non-school hours for children, youth and young adults. Before and after care serves elementary-aged children, while summer camp programming serves 5-12 year olds, including a range of academic enrichment, sports and recreation, performance and visual arts, social-emotional learning, field trips, and nutritious meals. 

Youth and young adults (ages 13-24) from all area middle and high schools, meanwhile, have access to a variety of programs (Recreation, Education, Arts, Careers, and Health) during afternoon and evening hours at The Warehouse. The Warehouse programming aims to support youth and young adults' growth by providing safe, engaging, and development-focused opportunities that equip youth with the skills, confidence, and connections needed to succeed academically, socially, and professionally, while fostering a supportive community where they can explore their interests, build meaningful relationships, and access comprehensive enrichment experiences that nurture personal development, strengthen life skills, and prepare them for future education and career pathways.","Students enrolled
Tutoring, mentorship, and academic support received
College preparatory activities conducted","Increased knowledge of mental health and reduced stigmas
Increased knowledge of substance use/abuse
Increased math and literacy levels
Improved social/emotional learning competencies
Increased developmental assets
Increased basic educational skills or English proficiency
Increased access to college and career pathways and in-demand jobs for youth","Enhanced self-regulation and social-emotional well-being
Increased promotion of youth to the next grade
Individuals participating in dual enrollment/early college programs
Individuals obtaining GEDs or other credentials
Individuals taking the PSAT, SAT, and/or ACT exams","Increased resilience and protective factors among youth and young adults
Increased K-12 academic achievement
Increased high school graduation
Increased post-secondary achievement"
Education,"Kingswood Community Center
Community Education Building","Family Services: Parent Council and Family Services Coordinator
Economic Mobility Places Ownership Within Everyone's Reach (EMPOWER) program
Goal Planning for Success program",Family Support and Services,"This strategy recognizes that student success depends on family stability and engagement, providing comprehensive support to parents and caregivers. Family services coordinators conduct strengths and needs assessments with families enrolled in early learning and youth programs, developing partnership agreements and maintaining regular contact to provide service navigation support. For EastSide Charter School families facing challenges such as chronic absenteeism or academic struggle, family navigators work alongside them to navigate challenges, identify opportunities, and connect with community resources through personalized success plans. Parent councils and engagement events create opportunities for families to connect with one another and with program staff through social events and educational workshops.","Parent education/engagement events held
Parents/guardians served through family service offerings
Caregivers participating in supportive, program-sponsored activities
Family navigator support received","Increased parent/guardian ability to advocate for their child's needs
Parents/guardians setting family goals
Parents/guardians committed to family development
Increased student attendance
Increased math and literacy levels","Increased parent/guardian involvement in their children's education
Increased promotion of youth to the next grade
","Increased K-12 academic achievement
"
Education,"The Warehouse
Kingswood Community Center","Reaching and Investing in Youth for Sustainable Employment (RISE): Out-of-School Youth program
Economic Mobility Places Ownership Within Everyone's Reach (EMPOWER) program",Post-secondary and Adult Education,"This strategy provides comprehensive pathways for youh and young adults who are not currently enrolled in school to obtain their GED or career certifications. Specifically, the RISE: OSY program combines intensive durability training—covering career readiness, financial literacy, and customer service—with GED or career certification programs offered through community college partnerships. Participants receive individualized service strategies, ongoing case management, and support navigating barriers to education completion, with tracking of measurable skills gain, credential obtainment, and placement into post-secondary education, training, employment or military service.
","Students enrolled
Individuals served","Increased access to post-secondary training
Increased basic educational skills or English proficiency","Students completing courses
Students obtaining GEDs or other credentials
Students independently enrolling in post-secondary education or the military
",Increased post-secondary achievement
